"","Age"
"930",45
"931",34
"932",58
"933",59
"934",35
"935",56
"936",29
"937",30
"938",52
"939",44
"940",59
"941",63
"942",35
"943",26
"944",50
"945",42
"946",24
"947",64
"948",30
"949",34
"950",64
"951",27
"952",23
"953",21
"954",30
"955",19
"956",51
"957",78
"958",64
"959",73
"960",88
"961",38
"962",67
"963",77
"964",61
"965",62
"966",72
"967",60
"968",23
"969",41
"970",40
"971",25
"972",77
"973",25
"974",21
"975",52
"976",22
"977",23
"978",31
"979",36
"980",32
"981",50
"982",77
"983",88
"984",32
"985",22
"986",55
"987",67
"988",75
"989",45
"990",57
"991",56
"992",30
"993",26
"994",19
"995",64
"996",62
"997",68
"998",63
"999",48
"1000",28
"1001",75
"1002",23
"1003",72
"1004",39
"1005",30
"1006",29
"1007",33
"1008",43
"1009",51
"1010",27
"1011",49
"1012",56
"1013",49
"1014",50
"1015",39
"1016",43
"1017",20
"1018",34
"1019",75
"1020",53
"1021",29
"1022",55
"1023",29
"1024",51
"1025",45
"1026",50
"1027",50
"1028",33
"1029",29
"1030",23
"1031",67
"1032",26
"1033",36
"1034",30
"1035",48
"1036",46
"1037",59
"1038",61
"1040",23
"1041",21
"1042",32
"1043",68
"1044",21
"1045",25
"1046",49
"1047",23
"1048",22
"1049",24
"1050",78
"1051",60
"1052",83
"1053",43
"1054",58
"1055",27
"1056",30
"1057",44
"1058",28
"1059",58
"1060",61
"1061",36
"1062",63
"1063",38
"1064",55
"1065",41
"1066",74
"1067",34
"1068",43
"1069",54
"1070",25
"1071",20
"1072",70
"1073",52
"1074",68
"1075",24
"1076",51
"1077",43
"1078",50
"1079",30
"1080",59
"1081",87
"1082",26
"1083",52
"1084",27
"1085",47
"1086",37
"1087",50
"1088",44
"1089",77
"1090",74
"1091",30
"1092",35
"1093",76
"1094",35
"1095",58
"1096",31
"1097",51
"1098",53
"1099",51
"1100",46
"1101",18
"1102",69
"1103",59
"1104",52
"1105",40
"1106",66
"1107",46
"1108",57
"1109",30
"1110",19
"1111",42
"1112",29
"1113",29
"1114",23
"1115",66
"1116",43
"1117",45
"1118",68
"1119",40
"1120",54
"1121",26
"1122",66
"1123",55
"1124",72
"1125",65
"1126",23
"1127",57
"1128",34
"1129",64
"1130",42
"1131",25
"1132",25
"1133",74
"1134",37
"1135",43
"1136",67
"1137",57
"1138",65
"1139",33
"1140",66
"1141",35
"1142",20
"1143",22
"1144",20
"1145",22
"1146",48
"1147",35
"1148",45
"1149",34
"1150",37
"1151",47
"1152",59
"1153",23
"1154",29
"1155",45
"1156",58
"1157",23
"1158",36
"1159",36
"1160",76
"1161",42
"1162",34
"1163",30
"1164",30
"1165",45
"1166",26
"1167",72
"1168",30
"1169",57
"1170",47
"1171",70
"1172",20
"1173",77
"1174",73
"1175",65
"1176",55
"1177",64
"1178",33
"1179",19
"1180",89
"1181",53
"1182",49
"1183",57
"1184",70
"1185",49
"1186",76
"1187",51
"1188",60
"1189",54
"1190",71
"1191",38
"1192",63
"1193",78
"1194",26
"1195",66
"1196",65
"1197",25
"1198",34
"1199",65
"1200",81
"1201",79
"1202",80
"1203",62
"1204",25
"1205",75
"1206",25
